index_date,index_place,index_product,index_value,base_volume,base_amount,base_trades
2018-01-19,DAL,DTZ,47250.0,2225,105133195,19
2018-01-19,DAL,MZT,15113.0,1560,23576800,18
2018-01-19,DAL,PRM,43118.0,2820,121593480,40
2018-01-19,DAL,REG,40385.0,5940,239890920,71
2018-01-19,DAL,TRD,44636.0,0,0,0
2018-01-19,EVR,DTL,0.0,0,0,0
2018-01-19,EVR,DTM,39534.0,7725,305405025,66
2018-01-19,EVR,DTZ,43233.0,9535,412235895,81
2018-01-19,EVR,MZT,11466.0,4030,46209475,50
2018-01-19,EVR,PRM,38890.0,13200,513356700,139
2018-01-19,EVR,REG,38568.0,22740,877039560,218
2018-01-19,EVR,SUG,19012.0,991,18841000,24
2018-01-19,EVR,TRD,40867.0,2235,91338545,24
2018-01-19,SIB,DTL,0.0,0,0,0
2018-01-19,SIB,DTM,0.0,0,0,0
2018-01-19,SIB,DTZ,46262.0,4350,201243735,32
2018-01-19,SIB,MZT,11920.0,1950,23245625,24
2018-01-19,SIB,PRM,38710.0,4440,171875820,50
2018-01-19,SIB,REG,38669.0,10440,403708260,114
2018-01-19,SIB,SUG,17618.0,1411,24859384,30
2018-01-19,SIB,TRD,42093.0,2145,90290460,20
2018-01-22,DAL,DTL,0.0,0,0,0
2018-01-22,DAL,DTM,0.0,0,0,0
2018-01-22,DAL,DTZ,47058.0,3395,159764670,34
2018-01-22,DAL,MZT,13840.0,3120,43182555,26
2018-01-22,DAL,PRM,40891.0,1200,49069980,14
2018-01-22,DAL,REG,39474.0,3060,120791340,29
2018-01-22,DAL,TRD,44299.0,2080,92142895,22
2018-01-22,EVR,DTL,40810.0,1300,53054000,7
2018-01-22,EVR,DTM,39479.0,7720,304779945,75
2018-01-22,EVR,DTZ,43769.0,8960,392170665,73
2018-01-22,EVR,MZT,11598.0,3120,36188165,40
2018-01-22,EVR,PRM,39130.0,8520,333391320,87
2018-01-22,EVR,REG,38845.0,20460,794773620,192
2018-01-22,EVR,SUG,18737.0,1054,19749307,22
2018-01-22,EVR,TRD,41253.0,2510,103546300,24
2018-01-22,SIB,DTL,40013.0,2220,88829800,16
2018-01-22,SIB,DTM,0.0,0,0,0
2018-01-22,SIB,DTZ,45441.0,7870,357624790,66
2018-01-22,SIB,MZT,12632.0,3185,40233635,27
2018-01-22,SIB,PRM,39092.0,3480,136041360,39
2018-01-22,SIB,REG,38186.0,8340,318475260,82
2018-01-22,SIB,SUG,17093.0,1375,23503077,24
2018-01-22,SIB,TRD,42758.0,2660,113738065,27
2018-01-23,DAL,DTL,0.0,0,0,0
2018-01-23,DAL,DTM,0.0,0,0,0
2018-01-23,DAL,DTZ,46207.0,3400,157106200,43
2018-01-23,DAL,MZT,13208.0,2795,36916425,25
2018-01-23,DAL,PRM,41092.0,1260,51776280,15
2018-01-23,DAL,REG,39989.0,3420,136762380,32
2018-01-23,DAL,TRD,44010.0,2080,91541320,20
2018-01-23,EVR,DTL,0.0,0,0,0
2018-01-23,EVR,DTM,39356.0,8840,347909805,79
2018-01-23,EVR,DTZ,43514.0,6985,303948275,64
2018-01-23,EVR,MZT,11745.0,3770,44279755,39
2018-01-23,EVR,PRM,39267.0,9120,358121220,104
2018-01-23,EVR,REG,38831.0,18300,710617080,200
2018-01-23,EVR,SUG,18264.0,896,16365225,23
2018-01-23,EVR,TRD,40917.0,1925,78766895,26
2018-01-23,SIB,DTL,0.0,0,0,0
2018-01-23,SIB,DTM,0.0,0,0,0
2018-01-23,SIB,DTZ,45060.0,6485,292219055,67
2018-01-23,SIB,MZT,11996.0,2990,35869405,28
2018-01-23,SIB,PRM,39127.0,5040,197200860,58
2018-01-23,SIB,REG,38080.0,11100,422690460,90
2018-01-23,SIB,SUG,16906.0,1385,23415080,25
2018-01-23,SIB,TRD,42727.0,2660,113655860,27
2018-01-24,DAL,DTL,0.0,0,0,0
2018-01-24,DAL,DTM,0.0,0,0,0
2018-01-24,DAL,DTZ,46077.0,3590,165418050,37
2018-01-24,DAL,MZT,14265.0,2340,33380360,31
2018-01-24,DAL,PRM,41389.0,1260,52151100,16
2018-01-24,DAL,REG,40391.0,3300,133292880,31
2018-01-24,DAL,TRD,44440.0,2015,89547250,19
2018-01-24,EVR,DTL,40815.0,1300,53059700,8
2018-01-24,EVR,DTM,39608.0,7330,290330265,68
2018-01-24,EVR,DTZ,43450.0,8565,372154350,67
2018-01-24,EVR,MZT,12043.0,4485,54015520,50
2018-01-24,EVR,PRM,39680.0,9305,369229400,90
2018-01-24,EVR,REG,38785.0,16200,628331760,157
2018-01-24,EVR,SUG,18219.0,1552,28276850,34
2018-01-24,EVR,TRD,40821.0,2120,86542360,25
2018-01-24,SIB,DTL,39681.0,2220,88092960,14
2018-01-24,SIB,DTM,0.0,0,0,0
2018-01-24,SIB,DTZ,44559.0,8060,359149155,66
2018-01-24,SIB,MZT,12861.0,2665,34274955,35
2018-01-24,SIB,PRM,39275.0,5645,221709440,56
2018-01-24,SIB,REG,38394.0,10020,384710880,84
2018-01-24,SIB,SUG,17103.0,1444,24698115,22
2018-01-24,SIB,TRD,41952.0,2205,92505750,21
2018-01-25,DAL,DTL,0.0,0,0,0
2018-01-25,DAL,DTM,0.0,0,0,0
2018-01-25,DAL,DTZ,46192.0,4045,186849340,41
2018-01-25,DAL,MZT,14024.0,3510,49224435,38
2018-01-25,DAL,PRM,41301.0,1260,52039500,17
2018-01-25,DAL,REG,40805.0,3180,129762240,29
2018-01-25,DAL,TRD,44543.0,1560,69488250,13
2018-01-25,EVR,DTL,40773.0,1300,53005800,8
2018-01-25,EVR,DTM,39749.0,9075,360731125,83
2018-01-25,EVR,DTZ,43397.0,10145,440263230,93
2018-01-25,EVR,MZT,12153.0,5525,67147535,52
2018-01-25,EVR,PRM,40131.0,8280,332291340,84
2018-01-25,EVR,REG,39381.0,16680,656877840,150
2018-01-25,EVR,SUG,18406.0,1402,25806390,25
2018-01-25,EVR,TRD,40886.0,2055,84021855,16
2018-01-25,SIB,DTL,39833.0,2220,88430260,18
2018-01-25,SIB,DTM,0.0,0,0,0
2018-01-25,SIB,DTZ,45021.0,7495,337434610,76
2018-01-25,SIB,MZT,12273.0,3380,41484430,36
2018-01-25,SIB,PRM,39640.0,3900,154599600,43
2018-01-25,SIB,REG,38941.0,8160,317764260,72
2018-01-25,SIB,SUG,17236.0,1333,22975952,22
2018-01-25,SIB,TRD,41719.0,1685,70297875,14
2018-01-26,DAL,DTL,0.0,0,0,0
2018-01-26,DAL,DTM,0.0,0,0,0
2018-01-26,DAL,DTZ,46161.0,3195,147484935,33
2018-01-26,DAL,MZT,12998.0,2795,36331750,17
2018-01-26,DAL,PRM,41286.0,1200,49543440,13
2018-01-26,DAL,REG,40627.0,3180,129196620,39
2018-01-26,DAL,TRD,43452.0,1235,53663935,14
2018-01-26,EVR,DTL,40808.0,1300,53050600,7
2018-01-26,EVR,DTM,39820.0,10340,411746235,82
2018-01-26,EVR,DTZ,43611.0,7990,348456405,62
2018-01-26,EVR,MZT,11680.0,2730,31889065,28
2018-01-26,EVR,PRM,40359.0,8530,344264020,83
2018-01-26,EVR,REG,39652.0,16200,642378060,131
2018-01-26,EVR,SUG,18814.0,1563,29407345,28
2018-01-26,EVR,TRD,41385.0,2643,109383150,22
2018-01-26,SIB,DTL,40037.0,2220,88882800,14
2018-01-26,SIB,DTM,0.0,0,0,0
2018-01-26,SIB,DTZ,45101.0,5725,258207675,53
2018-01-26,SIB,MZT,12027.0,2990,35961250,19
2018-01-26,SIB,PRM,39693.0,4090,162346060,40
2018-01-26,SIB,REG,39041.0,8340,325608180,68
2018-01-26,SIB,SUG,17463.0,1420,24798512,25
2018-01-26,SIB,TRD,42073.0,1880,79097685,18
2018-01-29,DAL,DTL,0.0,0,0,0
2018-01-29,DAL,DTM,0.0,0,0,0
2018-01-29,DAL,DTZ,46340.0,3655,169374645,39
2018-01-29,DAL,MZT,14787.0,2925,43253665,34
2018-01-29,DAL,PRM,41124.0,1260,51816780,20
2018-01-29,DAL,REG,40361.0,3180,128349720,34
2018-01-29,DAL,TRD,44176.0,1235,54557945,16
2018-01-29,EVR,DTL,0.0,0,0,0
2018-01-29,EVR,DTM,39790.0,8170,325090750,78
2018-01-29,EVR,DTZ,43674.0,6555,286285550,55
2018-01-29,EVR,MZT,11484.0,2925,33591415,36
2018-01-29,EVR,PRM,40598.0,6420,260643600,54
2018-01-29,EVR,REG,39524.0,13080,516974280,121
2018-01-29,EVR,SUG,18041.0,889,16039135,17
2018-01-29,EVR,TRD,41784.0,3865,161498000,22
2018-01-29,SIB,DTL,0.0,0,0,0
2018-01-29,SIB,DTM,0.0,0,0,0
2018-01-29,SIB,DTZ,45303.0,6245,282921200,54
2018-01-29,SIB,MZT,12237.0,2600,31817500,30
2018-01-29,SIB,PRM,39961.0,2340,93510660,27
2018-01-29,SIB,REG,38729.0,7500,290467680,67
2018-01-29,SIB,SUG,16555.0,1128,18674692,18
2018-01-29,SIB,TRD,42445.0,1750,74280490,19
